质量_A
t	x	y	v_{x}	v_{y}	v
0.000000000E0	-2.968750000E-3	-6.349609375E-2			
3.333333333E-2	-6.406250000E-3	-6.505859375E-2	-3.281250000E-2	-5.625000000E-2	6.512083120E-2
6.666666667E-2	-5.156250000E-3	-6.724609375E-2	1.875000000E-2	-2.343750000E-2	3.001464486E-2
1.000000000E-1	-5.156250000E-3	-6.662109375E-2	-3.750000000E-2	-4.687500000E-3	3.779183320E-2
1.333333333E-1	-7.656250000E-3	-6.755859375E-2	-3.281250000E-2	2.343750000E-2	4.032339969E-2
1.666666667E-1	-7.343750000E-3	-6.505859375E-2	-3.018486257E-3	5.257286585E-2	5.265944819E-2
2.000000000E-1	-7.857482417E-3	-6.405373603E-2	1.820527705E-2	3.035869567E-2	3.539890557E-2
2.333333333E-1	-6.130064863E-3	-6.303468071E-2	1.116604251E-1	3.047245865E-2	1.157437742E-1
2.666666667E-1	-4.134540805E-4	-6.202223878E-2	1.330799047E-1	5.292158593E-2	1.432164630E-1
3.000000000E-1	2.741928781E-3	-5.950657498E-2	7.094522546E-2	7.311629177E-2	1.018784430E-1
3.333333333E-1	4.316227617E-3	-5.714781933E-2	6.261549494E-2	8.338101226E-2	1.042741263E-1
3.666666667E-1	6.916295111E-3	-5.394784083E-2	6.911868489E-2	1.539833199E-1	1.687846421E-1
4.000000000E-1	8.924139943E-3	-4.688226467E-2	1.539636346E-1	2.827161274E-1	3.219211230E-1
4.333333333E-1	1.718053742E-2	-3.510009900E-2	2.923265828E-1	2.712441889E-1	3.987834513E-1
4.666666667E-1	2.841257880E-2	-2.879931874E-2	2.959253480E-1	1.154398408E-1	3.176447204E-1
5.000000000E-1	3.690889395E-2	-2.740410961E-2	1.839388108E-1	4.207898804E-2	1.886905598E-1
5.333333333E-1	4.067516618E-2	-2.599405287E-2	6.979949211E-4	8.746156699E-2	8.746435215E-2
5.666666667E-1	3.695542694E-2	-2.157333848E-2	8.801319484E-2	3.409964714E-1	3.521717138E-1
6.000000000E-1	4.654271251E-2	-3.260954781E-3	3.317870132E-1	2.530996055E-1	4.173032859E-1
6.333333333E-1	5.907456116E-2	-4.700031446E-3	1.963689646E-1	2.603797178E-1	3.261263063E-1
6.666666667E-1	5.963397681E-2	1.409769307E-2	1.198554841E-1	3.879265588E-1	4.060201375E-1
7.000000000E-1	6.706492676E-2	2.116173914E-2	1.585542688E-1	1.205560883E-1	1.991813912E-1
7.333333333E-1	7.020426140E-2	2.213476562E-2	7.977478372E-2	2.352518917E-1	2.484098804E-1
7.666666667E-1	7.238324568E-2	3.684519859E-2	-9.708592261E-2	2.147902394E-1	2.357127983E-1
8.000000000E-1	6.373186656E-2	3.645411492E-2	-1.546682217E-1	-1.995727754E-2	1.559504784E-1
8.333333333E-1	6.207203090E-2	3.551471342E-2	-1.261971933E-1	2.635347563E-2	1.289194992E-1
8.666666667E-1	5.531872034E-2	3.821101329E-2	-1.064249017E-1	-1.575679508E-1	1.901418387E-1
9.000000000E-1	5.497703745E-2	2.501018336E-2	-7.687476316E-2	-3.135201882E-1	3.228074312E-1
9.333333333E-1	5.019373613E-2	1.730966741E-2	9.591149779E-3	-2.463465282E-1	2.465331664E-1
9.666666667E-1	5.561644744E-2	8.587081483E-3	2.294499849E-2	-2.120285370E-1	2.132664377E-1
1.000000000E0	5.172340269E-2	3.174431613E-3	-1.048316413E-1	-1.492515047E-1	1.823888282E-1
1.033333333E0	4.862767135E-2	-1.363018828E-3	-9.755452345E-2	-2.430136124E-1	2.618635157E-1
1.066666667E0	4.521976780E-2	-1.302647588E-2	3.879759747E-2	-2.053568457E-1	2.089896831E-1
1.100000000E0	5.121417785E-2	-1.505347521E-2	-5.938951856E-4	9.375305462E-3	9.394097295E-3
1.133333333E0	4.518017478E-2	-1.240145552E-2	-1.764274584E-1	-4.514288219E-2	1.821113063E-1
1.166666667E0	3.945234729E-2	-1.806300068E-2	-9.376478159E-2	-4.509853920E-2	1.040466843E-1
1.200000000E0	3.892918935E-2	-1.540802480E-2	-1.322420263E-2	-2.551790595E-2	2.874096483E-2
1.233333333E0	3.857073378E-2	-1.976419441E-2	3.602183935E-2	-2.090134354E-1	2.120947644E-1
1.266666667E0	4.133064530E-2	-2.934225382E-2	-3.632999689E-2	-1.260972683E-1	1.312264827E-1
1.300000000E0	3.614873399E-2	-2.817067897E-2	-6.949779469E-2	1.212662796E-1	1.397692886E-1
1.333333333E0	3.669745899E-2	-2.125783518E-2	-1.388873426E-1	-4.103869614E-2	1.448235772E-1
1.366666667E0	2.688957781E-2	-3.090659204E-2	-1.446716995E-2	-2.849423850E-2	3.195654290E-2
1.400000000E0	3.573298099E-2	-2.315745108E-2	1.233595479E-1	5.260583063E-3	1.234716639E-1
1.433333333E0	3.511354767E-2	-3.055588651E-2	-2.211419993E-2	-2.754350807E-2	3.532255194E-2
1.466666667E0	3.425870100E-2	-2.499368495E-2	-2.143664671E-2	1.157942431E-1	1.177617788E-1
1.500000000E0	3.368443789E-2	-2.283627030E-2	-2.091847778E-1	-5.037632835E-2	2.151651592E-1
1.533333333E0	2.031304914E-2	-2.835210684E-2	-2.424785071E-1	-4.725445137E-2	2.470400971E-1
1.566666667E0	1.751920409E-2	-2.598656706E-2	9.111679762E-2	1.595413789E-1	1.837273044E-1
1.600000000E0	2.638750232E-2	-1.771601491E-2	1.962562090E-1	6.922032403E-2	2.081056290E-1
1.633333333E0	3.060295135E-2	-2.137187879E-2	2.306244488E-2	-1.471776354E-1	1.489735974E-1
1.666666667E0	2.792499864E-2	-2.752785727E-2	-1.609088132E-1	6.542263979E-2	1.737002244E-1
1.700000000E0	1.987569714E-2	-1.701036947E-2	-4.827152789E-2	2.476493237E-1	2.523099839E-1
1.733333333E0	2.470689678E-2	-1.101790235E-2	9.546782942E-2	5.507877630E-2	1.102169590E-1
1.766666667E0	2.624021910E-2	-1.333845105E-2	7.736346875E-2	8.307586858E-2	1.135196293E-1
1.800000000E0	2.986446137E-2	-5.479511115E-3	1.299926039E-1	1.129577910E-1	1.722136453E-1
1.833333333E0	3.490639270E-2	-5.807931656E-3	1.023204549E-1	3.119329736E-2	1.069696092E-1
1.866666667E0	3.668582502E-2	-3.399957958E-3	1.517723959E-1	4.798129046E-2	1.591762055E-1
1.900000000E0	4.502455242E-2	-2.609178959E-3	3.553775017E-2	9.472456643E-3	3.677851440E-2
1.933333333E0	3.905500837E-2	-2.768460849E-3	8.107236976E-2	1.621816173E-1	1.813163151E-1
1.966666667E0	5.042937707E-2	8.202928858E-3	2.870434451E-1	1.202672350E-1	3.112204158E-1
2.000000000E0	5.819123804E-2	5.249354820E-3	1.211346637E-1	2.217773064E-1	2.527029489E-1
2.033333333E0	5.850502132E-2	2.298808262E-2	7.560156731E-2	3.875164990E-1	3.948222815E-1
2.066666667E0	6.323134253E-2	3.108378809E-2	1.965969497E-1	1.516488170E-1	2.482895977E-1
2.100000000E0	7.161148464E-2	3.309800375E-2	2.285057250E-2	7.104894709E-2	7.463311293E-2
2.133333333E0	6.475471403E-2	3.582038456E-2	-1.050890085E-1	6.670476260E-2	1.244717842E-1
2.166666667E0	6.460555073E-2	3.754498793E-2	-3.910124896E-2	-5.576487996E-2	6.810748496E-2
2.200000000E0	6.214796410E-2	3.210272590E-2	-2.037290696E-2	-1.780045890E-1	1.791666516E-1
2.233333333E0	6.324735694E-2	2.567801533E-2	-6.309594397E-2	-3.022563658E-1	3.087717746E-1
2.266666667E0	5.794156784E-2	1.195230151E-2	-1.594183830E-1	-3.191612329E-1	3.567605828E-1
2.300000000E0	5.261946473E-2	4.400599797E-3	-1.010594369E-1	-2.373752103E-1	2.579922484E-1
2.333333333E0	5.120427204E-2	-3.872712507E-3	-5.840351932E-2	-2.427049898E-1	2.496330970E-1
