质量_B
t	x	y
0.067	-1.978E-2	-6.421E-2
0.100	-1.587E-2	-6.605E-2
0.133	-1.623E-2	-6.609E-2
0.167	-1.364E-2	-5.694E-2
0.200	-1.661E-2	-6.690E-2
0.233	-1.647E-2	-6.650E-2
0.267	-1.642E-2	-6.703E-2
0.300	-1.641E-2	-6.697E-2
0.333	-1.199E-2	-7.142E-2
0.367	-8.878E-3	-5.850E-2
0.400	-1.289E-2	-5.497E-2
0.433	-1.326E-2	-5.126E-2
0.467	-8.970E-3	-4.001E-2
0.500	-2.678E-3	-6.455E-3
0.533	4.106E-3	-1.236E-2
0.567	1.028E-2	3.045E-3
0.600	1.376E-2	1.730E-2
0.633	1.764E-2	2.973E-2
0.667	1.751E-2	3.955E-2
0.700	1.831E-2	4.627E-2
0.733	1.803E-2	5.006E-2
0.767	2.741E-2	4.859E-2
0.800	1.802E-2	4.645E-2
0.833	1.429E-2	4.022E-2
0.867	1.788E-2	2.776E-2
0.900	1.047E-2	1.594E-2
0.933	8.545E-3	6.903E-4
0.967	2.739E-3	-1.436E-2
1.000	4.237E-3	-2.845E-2
1.033	-4.302E-4	-4.115E-2
1.067	-1.172E-2	-5.256E-2
1.100	-1.522E-2	-6.135E-2
1.133	-1.764E-2	-6.761E-2
1.167	-1.679E-2	-7.157E-2
1.200	-1.545E-2	-7.283E-2
1.233	-1.401E-2	-7.129E-2
1.267	-1.134E-2	-6.699E-2
1.300	-7.348E-3	-6.036E-2
1.333	-1.684E-3	-5.156E-2
1.367	2.851E-3	-4.066E-2
1.400	1.084E-2	-2.841E-2
1.433	1.680E-2	-1.494E-2
1.467	1.933E-2	-6.208E-4
1.500	1.775E-2	1.508E-2
1.533	2.399E-2	2.539E-2
1.567	2.453E-2	3.545E-2
1.600	2.435E-2	4.285E-2
1.633	2.190E-2	4.723E-2
1.667	2.633E-2	4.847E-2
1.700	1.730E-2	4.456E-2
1.733	1.309E-2	3.952E-2
1.767	8.071E-3	3.055E-2
1.800	4.353E-3	1.794E-2
1.833	-1.358E-3	3.508E-3
1.867	-6.608E-3	-1.188E-2
1.900	-1.348E-2	-2.583E-2
1.933	-1.029E-2	-3.665E-2
1.967	-1.405E-2	-4.796E-2
2.000	-2.364E-2	-5.657E-2
2.033	-2.112E-2	-6.252E-2
2.067	-1.868E-2	-6.613E-2
2.100	-1.536E-2	-6.699E-2
2.133	-1.263E-2	-6.389E-2
2.167	-5.001E-3	-6.101E-2
2.200	4.381E-3	-5.756E-2
2.233	1.020E-2	-4.798E-2
2.267	1.747E-2	-3.795E-2
2.300	2.538E-2	-2.736E-2
2.333	2.534E-2	-1.067E-2
2.367	2.953E-2	1.396E-3
2.400	3.221E-2	1.253E-2
2.433	3.371E-2	2.259E-2
2.467	3.401E-2	3.097E-2
2.500	3.076E-2	3.908E-2
2.533	2.953E-2	4.138E-2
2.567	2.441E-2	4.248E-2
2.600	1.783E-2	4.021E-2
2.633	9.431E-3	3.490E-2
2.667	-9.829E-4	2.723E-2
2.700	-8.215E-3	1.441E-2
2.733	-8.396E-3	2.014E-3
2.767	-1.512E-2	-1.196E-2
2.800	-1.939E-2	-2.458E-2
2.833	-2.244E-2	-3.458E-2
2.867	-2.259E-2	-4.365E-2
2.900	-1.994E-2	-5.095E-2
2.933	-1.658E-2	-5.506E-2
2.967	-1.094E-2	-5.732E-2
3.000	-3.921E-3	-5.742E-2
3.033	4.084E-3	-5.522E-2
3.067	1.253E-2	-5.074E-2
3.100	2.124E-2	-4.449E-2
3.133	2.934E-2	-3.640E-2
3.167	3.730E-2	-2.772E-2
3.200	4.525E-2	-1.960E-2
3.233	4.801E-2	-6.562E-3
3.267	5.198E-2	4.026E-3
3.300	5.179E-2	1.395E-2
3.333	5.119E-2	2.228E-2
