质量_A
t	x	y	v	v_{y}	v_{x}
0.000000000E0	-1.908777574E-2	-6.208639706E-3			
3.333333333E-2	-1.908777574E-2	-6.208639706E-3	0.000000000E0	-0.000000000E0	0.000000000E0
6.666666667E-2	-1.908777574E-2	-6.208639706E-3	0.000000000E0	-0.000000000E0	0.000000000E0
1.000000000E-1	-1.908777574E-2	-6.208639706E-3	0.000000000E0	-0.000000000E0	0.000000000E0
1.333333333E-1	-1.908777574E-2	-6.208639706E-3			
1.666666667E-1			1.619477093E-1	1.472778094E-1	6.735211502E-2
2.000000000E-1	-1.459763473E-2	3.609880920E-3			
2.333333333E-1	-1.454494381E-2	3.736052076E-3	6.994821002E-3	6.590791575E-3	2.342858779E-3
2.666666667E-1	-1.444144415E-2	4.049267025E-3	8.554966104E-2	3.446907256E-2	7.829832400E-2
3.000000000E-1	-9.325055544E-3	6.033990247E-3	1.854405728E-1	-1.797116853E-1	-4.573747032E-2
3.333333333E-1	-1.749060884E-2	-7.931511995E-3			-2.231411518E-2
3.666666667E-1	-1.081266322E-2	-9.479223420E-3	3.968424924E-1	4.416411983E-2	3.943773502E-1
4.000000000E-1	8.801214508E-3	-4.987237340E-3	4.927232456E-1	-5.623630686E-2	4.895034980E-1
4.333333333E-1	2.182090331E-2	-1.322831054E-2	4.828593939E-1	-3.550765502E-1	3.272213895E-1
4.666666667E-1	3.061597381E-2	-2.865900735E-2	5.834521483E-1	-4.656780608E-1	3.515115262E-1
5.000000000E-1	4.525500506E-2	-4.427351460E-2	4.853381150E-1	-3.637604518E-1	3.212964669E-1
5.333333333E-1	5.203573827E-2	-5.290970414E-2	2.684339921E-1	-1.543876365E-1	2.195934103E-1
5.666666667E-1	5.989456574E-2	-5.456602370E-2	1.937840331E-1	-6.011844244E-2	1.842227575E-1
6.000000000E-1	6.431725543E-2	-5.691760030E-2	3.227576638E-1	-2.713443243E-1	1.747706132E-1
6.333333333E-1	7.154593996E-2	-7.265564532E-2	1.335948308E-1	-1.330778608E-1	1.174145510E-2
6.666666667E-1	6.510001910E-2	-6.578945769E-2	9.413413064E-2	9.038747302E-2	-2.629333133E-2
7.000000000E-1	6.979305120E-2	-6.662981378E-2	1.226270614E-1	1.203192917E-1	-2.367834905E-2
7.333333333E-1	6.352146250E-2	-5.776817157E-2	2.353407540E-1	1.553152930E-1	-1.768118499E-1
7.666666667E-1	5.800559454E-2	-5.627546092E-2	1.244277149E-1	2.946981490E-2	-1.208874941E-1
8.000000000E-1	5.546229622E-2	-5.580351725E-2	2.699391036E-1	1.760464841E-1	-2.046332210E-1
8.333333333E-1	4.436337981E-2	-4.453902864E-2	3.936689229E-1	2.330614161E-1	-3.172658147E-1
8.666666667E-1	3.431124191E-2	-4.026608951E-2	4.324962912E-1	2.957531686E-1	-3.155679089E-1
9.000000000E-1	2.332551922E-2	-2.482215074E-2	4.668188727E-1	3.710374464E-1	-2.832862038E-1
9.333333333E-1	1.542549499E-2	-1.553025975E-2	4.421993089E-1	3.070699033E-1	-3.181953854E-1
9.666666667E-1	2.112493528E-3	-4.350823848E-3	4.261265980E-1	2.578587870E-1	-3.392531849E-1
1.000000000E0	-7.191384009E-3	1.660326051E-3	2.467118130E-1	1.072888783E-1	-2.221616873E-1
1.033333333E0	-1.269828562E-2	2.801768038E-3	6.155803959E-2	5.916733522E-2	-1.698878106E-2
1.066666667E0	-8.323969413E-3	5.604815066E-3	1.010989168E-1	-2.912953326E-3	1.010569427E-1
1.100000000E0	-5.961156108E-3	2.607571150E-3	3.479222586E-1	-1.692291579E-1	3.039924180E-1
1.133333333E0	1.194219179E-2	-5.677128791E-3	3.636993510E-1	-1.873421709E-1	3.117372755E-1
1.166666667E0	1.482132892E-2	-9.881906912E-3	3.539415137E-1	-2.653679425E-1	2.342102692E-1
1.200000000E0	2.755620973E-2	-2.336832496E-2	4.126230762E-1	-2.945444457E-1	2.889660404E-1
1.233333333E0	3.408573162E-2	-2.951820329E-2	3.961840907E-1	-2.395522367E-1	3.155575377E-1
1.266666667E0	4.859337892E-2	-3.933847407E-2	3.377742348E-1	-2.336882395E-1	2.438877619E-1
1.300000000E0	5.034491574E-2	-4.509741926E-2	4.286524493E-1	-3.754497290E-1	2.068342895E-1
1.333333333E0	6.238233155E-2	-6.436845600E-2	2.737611751E-1	-2.643031734E-1	7.133732193E-2
1.366666667E0	5.510073721E-2	-6.271763082E-2	6.838060720E-2	-4.892968125E-3	-6.820532461E-2
1.400000000E0	5.783530991E-2	-6.469465388E-2	1.187103673E-1	-1.053782595E-1	5.465870231E-2
1.433333333E0	5.874465069E-2	-6.974284812E-2	4.785506272E-2	-2.994406550E-2	-3.732907673E-2
1.466666667E0	5.534670479E-2	-6.669092491E-2	7.700415380E-2	-7.338526864E-2	-2.332899587E-2
1.500000000E0	5.718938430E-2	-7.463519936E-2	1.551326283E-1	9.444028847E-2	-1.230738164E-1
1.533333333E0	4.714178370E-2	-6.039490568E-2	4.828921482E-1	4.134147945E-1	-2.495456560E-1
1.566666667E0	4.055300723E-2	-4.707421306E-2	4.288090643E-1	3.806033262E-1	-1.975305590E-1
1.600000000E0	3.397307977E-2	-3.502135060E-2	4.744330498E-1	3.154405056E-1	-3.543783377E-1
1.633333333E0	1.692778472E-2	-2.604484602E-2	4.576014372E-1	3.632077710E-1	-2.783508405E-1
1.666666667E0	1.541635707E-2	-1.080749920E-2	3.671446961E-1	2.873858824E-1	-2.284832213E-1
1.700000000E0	1.695569966E-3	-6.885787192E-3	1.603570999E-1	7.401049779E-2	-1.422562677E-1
1.733333333E0	5.932605886E-3	-5.873466017E-3	2.322637027E-1	1.985067816E-1	-1.205880810E-1
