质量_A
t	x	y	v_{x}	v_{y}	v
0.000000000E0	-5.535714286E-3	-5.781250000E-3			
3.333333333E-2	-4.821428571E-3	-6.138392857E-3	1.071428571E-2	-5.357142857E-3	1.197893559E-2
6.666666667E-2	-4.821428571E-3	-6.138392857E-3	-5.524600642E-3	4.372102633E-2	4.406868906E-2
1.000000000E-1	-5.189735281E-3	-3.223657769E-3	-5.716118765E-3	4.565761651E-2	4.601404090E-2
1.333333333E-1	-5.202503156E-3	-3.094551756E-3	9.215964528E-2	-1.366130468E-1	1.647923687E-1
1.666666667E-1	9.542410714E-4	-1.233119422E-2	1.062639345E-1	-1.414336917E-1	1.769053785E-1
2.000000000E-1	1.881759146E-3	-1.252346454E-2	1.404260111E-2		
2.333333333E-1	1.890414479E-3		-4.119244333E-3		
2.666666667E-1	1.607142857E-3	-1.006696429E-2			
3.000000000E-1		-1.201952795E-2		8.089452915E-2	
3.333333333E-1	2.866799411E-2	-4.673995676E-3			
3.666666667E-1	4.010563261E-2	-1.168219880E-2	2.851006611E-1	-8.188185918E-2	2.966260707E-1
4.000000000E-1	4.767470485E-2	-1.013278629E-2	2.903547851E-1	-1.740643138E-2	2.908760648E-1
4.333333333E-1	5.946261828E-2	-1.284262756E-2	4.349735749E-1	-1.619408853E-1	4.641409928E-1
4.666666667E-1	7.667294318E-2	-2.092884531E-2	4.341800630E-1	-1.637253792E-1	4.640240586E-1
5.000000000E-1	8.840795582E-2	-2.375765284E-2	6.064300312E-2	-7.432866062E-2	9.592874239E-2
5.333333333E-1	8.071581005E-2	-2.588408935E-2	1.152968057E-1	-6.660770434E-2	1.331538196E-1
5.666666667E-1	9.609440953E-2	-2.819816646E-2	4.677857433E-1	-7.975034401E-2	4.745351610E-1
6.000000000E-1	1.119015263E-1	-3.120077895E-2	1.852163159E-1	3.794363376E-2	1.890629605E-1
6.333333333E-1	1.084421639E-1	-2.566859088E-2	-1.256371937E-1	1.428116622E-1	1.902100820E-1
6.666666667E-1	1.035257134E-1	-2.168000147E-2	-7.514091412E-2	6.592890993E-2	9.996388417E-2
7.000000000E-1	1.034327697E-1	-2.127333022E-2	1.865152825E-1	1.965421144E-1	2.709552608E-1
7.333333333E-1	1.159600655E-1	-8.577193846E-3	9.934975434E-2	1.408758508E-1	1.723843932E-1
7.666666667E-1	1.100560866E-1	-1.188160683E-2	-4.018739759E-1	1.592020879E-1	4.322591784E-1
8.000000000E-1	8.916846713E-2	2.036278681E-3	-4.740066377E-1	2.728608973E-1	5.469326850E-1
8.333333333E-1	7.845564409E-2	6.309119655E-3	-2.745491583E-1	1.160819016E-1	2.980809423E-1
8.666666667E-1	7.086518992E-2	9.775072122E-3	-3.338709086E-1	1.162148492E-1	3.535189879E-1
9.000000000E-1	5.619758352E-2	1.405677627E-2	-3.214299867E-1	1.178727358E-1	3.423612393E-1
9.333333333E-1	4.943652414E-2	1.763325451E-2	-2.305754799E-1	5.347292124E-2	2.366947512E-1
9.666666667E-1	4.082588486E-2	1.762163769E-2	-5.245942313E-1	-1.124829816E-1	5.365179668E-1
1.000000000E0	1.446357538E-2	1.013438907E-2	-5.177771044E-1	-1.207514478E-1	5.316709904E-1
1.033333333E0	6.307411233E-3	9.571541165E-3	-9.546172089E-2	-1.513292753E-1	1.789231392E-1
1.066666667E0	8.099460656E-3	4.577071298E-5	-7.072915010E-2	-1.152546466E-1	1.352266476E-1
1.100000000E0	1.592134559E-3	1.887898060E-3	-9.903848202E-2	-9.709365003E-2	1.386931786E-1
1.133333333E0	1.496895188E-3	-6.427139289E-3	1.429870682E-2	-2.084612883E-1	2.089510989E-1
1.166666667E0	2.545381680E-3	-1.200952116E-2	5.089283080E-2	-1.225259318E-1	1.326751076E-1
1.200000000E0	4.889750575E-3	-1.459553474E-2	1.573966848E-1	-2.305056562E-1	2.791174913E-1
1.233333333E0	1.303849400E-2	-2.737656491E-2	3.429403313E-1	-2.069563623E-1	4.005483825E-1
1.266666667E0	2.775243933E-2	-2.839262556E-2	4.028266691E-1	1.500827477E-4	4.028266971E-1
1.300000000E0	3.989360528E-2	-2.736655940E-2	2.513697872E-1	-3.755666504E-2	2.541599358E-1
1.333333333E0	4.451042514E-2	-3.089640323E-2	2.084685056E-1	-1.876201500E-1	2.804646832E-1
1.366666667E0	5.379150565E-2	-3.987456940E-2	2.995435361E-1	-2.364381751E-1	3.816141253E-1
1.400000000E0	6.447999421E-2	-4.665894824E-2	2.019298581E-1	-3.187742045E-1	3.773495210E-1
1.433333333E0	6.725349619E-2	-6.112618303E-2	1.861762946E-1	-2.404336743E-1	3.040887443E-1
1.466666667E0	7.689174719E-2	-6.268785986E-2	2.684361378E-1	-3.019104459E-2	2.701285976E-1
1.500000000E0	8.514923871E-2	-6.313891934E-2	2.109538815E-1	2.050103492E-2	2.119477118E-1
1.533333333E0	9.095533929E-2	-6.132112420E-2	2.586257254E-1	2.301187557E-1	3.461818995E-1
1.566666667E0	1.023909537E-1	-4.779766896E-2	2.217283268E-1	3.221228817E-1	3.910583100E-1
1.600000000E0	1.057372277E-1	-3.984626542E-2	-2.569738700E-2	2.186187633E-2	3.373866232E-2
1.633333333E0	1.006777946E-1	-4.634021054E-2	-2.893575596E-2	-1.075719592E-3	2.895574461E-2
1.666666667E0	1.038081773E-1	-3.991798006E-2	-6.481713831E-2	3.142193951E-1	3.208349882E-1
1.700000000E0	9.635665205E-2	-2.539225086E-2	-2.632384328E-1	4.527662233E-1	5.237286754E-1
1.733333333E0	8.625894849E-2	-9.733565168E-3	-2.379579946E-1	3.687548109E-1	4.388668565E-1
1.766666667E0	8.049278574E-2	-8.085968044E-4	-1.256538178E-1	2.146590362E-1	2.487315496E-1
1.800000000E0	7.788202730E-2	4.577037248E-3	-2.543007292E-1	4.764807449E-2	2.587261097E-1
1.833333333E0	6.353940380E-2	2.367941495E-3	-2.163945327E-1	1.702793066E-1	2.753572879E-1
1.866666667E0	6.345572513E-2	1.592899102E-2	-1.607228536E-1	2.079546499E-1	2.628249837E-1
1.900000000E0	5.282454689E-2	1.623158482E-2	-3.524423862E-1	7.352510218E-2	3.600299657E-1
1.933333333E0	3.995956605E-2	2.083066450E-2	-1.699797622E-1	8.707449483E-2	1.909845209E-1
1.966666667E0	4.149256274E-2	2.203655114E-2	-3.261237035E-2	1.163867865E-2	3.462694819E-2
2.000000000E0	3.778540802E-2	2.160657641E-2	-8.718205199E-2	-5.078383036E-2	1.008945371E-1
2.033333333E0	3.568042595E-2	1.865096245E-2	-4.185799598E-2	-1.274140592E-1	1.341135128E-1
2.066666667E0	3.499487496E-2	1.311230579E-2	1.018947754E-3	-1.901927475E-1	1.901954770E-1
2.100000000E0	3.574835580E-2	5.971445952E-3	4.399738798E-2	-2.370439930E-1	2.410925648E-1
2.133333333E0	3.792803416E-2	-2.690627075E-3	7.884855437E-2	-2.740589910E-1	2.851761299E-1
2.166666667E0	4.100492609E-2	-1.229915345E-2	1.068159777E-1	-3.040738754E-1	3.222895822E-1
2.200000000E0	4.504909934E-2	-2.296221877E-2	1.730600468E-1	-2.038915955E-1	2.674351557E-1
2.233333333E0	5.254226254E-2	-2.589192648E-2	1.495271152E-1	-1.970229154E-1	2.473386087E-1
2.266666667E0	5.501757368E-2	-3.609707979E-2	2.049743882E-1	-2.198087777E-1	3.005501598E-1
2.300000000E0	6.620722176E-2	-4.054584499E-2	1.324513906E-1	-2.834903195E-1	3.129059477E-1
2.333333333E0	6.384766638E-2	-5.499643442E-2	-7.093521599E-2	-2.592911327E-1	2.688190774E-1
2.366666667E0	6.147820736E-2	-5.783192051E-2	2.898233314E-1	-8.014763729E-2	3.007011925E-1
2.400000000E0	8.316922181E-2	-6.033961024E-2	2.037207441E-1	-1.709705664E-1	2.659569066E-1
2.433333333E0	7.505959030E-2	-6.922995827E-2	-4.483379870E-2	-1.635880230E-1	1.696204904E-1
2.466666667E0	8.018030190E-2	-7.124547844E-2	1.521220383E-1	-8.263653321E-2	1.731182000E-1
2.500000000E0	8.520105952E-2	-7.473906048E-2	6.983974767E-2	3.701140317E-2	7.904071305E-2
2.533333333E0	8.483628507E-2	-6.877805156E-2	9.746391727E-2	2.458051787E-1	2.644227696E-1
2.566666667E0	9.169865400E-2	-5.835204856E-2	-9.551993211E-2	1.003958096E-1	1.385762462E-1
2.600000000E0	7.846828960E-2	-6.208499758E-2	-8.677830960E-2	1.672485851E-1	1.884212415E-1
2.633333333E0	8.591343336E-2	-4.720214289E-2	-3.655306918E-2	4.521996609E-1	4.536746193E-1
2.666666667E0	7.603141832E-2	-3.193835353E-2	-2.500752758E-1	2.927791351E-1	3.850419010E-1
2.700000000E0	6.924174831E-2	-2.768353388E-2	-1.094858904E-1	3.081440401E-1	3.270166810E-1
2.733333333E0	6.873235896E-2	-1.139541752E-2	-9.831895845E-2	2.463722243E-1	2.652656980E-1
2.766666667E0	6.268715108E-2	-1.125871893E-2	-1.445832137E-1	2.491407817E-1	2.880545691E-1
2.800000000E0	5.909347805E-2	5.213967924E-3	-2.818094638E-1	5.176646417E-1	5.894007594E-1
2.833333333E0	4.389985349E-2	2.325225718E-2	-1.861417261E-1	3.495751681E-1	3.960448717E-1
2.866666667E0	4.668402964E-2	2.851897913E-2	6.905657508E-2	1.832906899E-1	1.958680361E-1
2.900000000E0	4.850362516E-2	3.547163651E-2	-1.432470009E-1	2.459764737E-1	2.846473764E-1
2.933333333E0	3.713422958E-2	4.491741071E-2	-2.061029535E-1	4.143705759E-3	2.061446039E-1
2.966666667E0	3.476342826E-2	3.574788356E-2	-7.223210469E-3	-1.689897024E-1	1.691440045E-1
3.000000000E0	3.665268222E-2	3.365143056E-2	1.325860331E-1	4.630030407E-2	1.404377952E-1
3.033333333E0	4.360249714E-2	3.883457050E-2	3.499669831E-1	-2.512280908E-1	4.308044137E-1
3.066666667E0	5.998381443E-2	1.690289117E-2	2.709244137E-1	-2.861531385E-1	3.940604733E-1
3.100000000E0	6.166412472E-2	1.975769460E-2	9.570832223E-2	-1.023680648E-1	1.401402998E-1
3.133333333E0	6.636436924E-2	1.007835352E-2	2.131277694E-1	-4.198872549E-1	4.708808267E-1
