质量_A
t	x	y	v	v_{y}	v_{x}
3.333333333E-2	-5.606011493E-2	-4.785787681E-2			
6.666666667E-2	-5.625827825E-2	-4.765971349E-2	4.300794487E-3	3.011371077E-3	-3.070582592E-3
1.000000000E-1	-5.626482044E-2	-4.765711874E-2	3.307204717E-3	2.840522015E-3	-1.693823404E-3
1.333333333E-1	-5.637119981E-2	-4.747034536E-2	4.926656692E-2	4.405431050E-2	2.205475782E-2
1.666666667E-1	-5.479450325E-2	-4.472016470E-2	5.016646764E-2	4.645449508E-2	1.893817211E-2
2.000000000E-1	-5.510865500E-2	-4.437337902E-2	6.715521871E-2	-3.162392943E-2	-5.924314717E-2
2.333333333E-1	-5.874404640E-2	-4.682842666E-2	6.658205416E-2	-3.719325171E-2	-5.522528373E-2
2.666666667E-1	-5.879034059E-2	-4.685292913E-2	1.000072178E-3	-5.685466638E-4	-8.227387504E-4
3.000000000E-1	-5.879889565E-2	-4.686632977E-2	1.152151609E-1	-1.076891888E-1	-4.095817268E-2
3.333333333E-1	-6.152088543E-2	-5.403220839E-2	3.829269016E-3	2.554747209E-3	-2.852466984E-3
3.666666667E-1	-5.898906011E-2	-4.669601329E-2	1.194655018E-1	1.134424377E-1	3.745423140E-2
4.000000000E-1	-5.902393667E-2	-4.646937921E-2	7.816449479E-2	5.933100681E-2	5.088732531E-2
4.333333333E-1	-5.559657176E-2	-4.274061284E-2	7.420238212E-2	5.968942275E-2	4.408136027E-2
4.666666667E-1	-5.608517932E-2	-4.249008436E-2	5.696029835E-2	5.646993855E-2	7.457990914E-3
5.000000000E-1	-5.509937237E-2	-3.897595027E-2	2.452601179E-2	-7.147052681E-3	-2.346156202E-2
5.333333333E-1	-5.764928345E-2	-4.296655454E-2	5.751262953E-2	-4.918010654E-2	-2.981643299E-2
5.666666667E-1	-5.708713456E-2	-4.225462404E-2	1.032139271E-1	8.967216340E-2	5.110790416E-2
6.000000000E-1	-5.424208984E-2	-3.698841031E-2	1.566813084E-1	1.346212910E-1	8.016321103E-2
